account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region
1103,Moonrise Studios,70000,2026-11-16,Growth,Financial Services,Emily Watson,LATAM
1104,Timberwolf Logistics,18000,2027-01-08,Starter,Manufacturing,Anna Kowalski,EMEA
1105,Ferndale Publishing,48000,2027-01-05,Starter,E-commerce,Anna Kowalski,APAC
1106,Stonebridge Capital,43000,2027-01-16,Starter,Education,Priya Sharma,APAC
1107,Ravenswood Media,187000,2026-11-30,Growth,Government,David Kim,APAC
1108,Clearwater Systems,1743000,2026-11-29,Enterprise,SaaS / Technology,Carlos Mendez,NA-East
1109,Pinehurst Golf Tech,436000,2026-11-16,Scale,Education,Anna Kowalski,EMEA
1110,Dewdrop Organic Foods,47000,2026-12-28,Starter,Healthcare,David Kim,NA-West
1111,Firestorm Marketing,335000,2027-01-05,Scale,Retail,Emily Watson,LATAM
1112,Stargazer Telescopes,49000,2026-10-20,Starter,Financial Services,Carlos Mendez,APAC
1113,Whitewater Adventures,1664000,2026-11-15,Enterprise,Education,David Kim,APAC
1114,Rosewood Hotels,21000,2026-12-12,Starter,Media & Publishing,Anna Kowalski,NA-West
1115,Sapwood Furniture Co,393000,2027-03-14,Scale,Manufacturing,Raj Patel,APAC
1116,Thunderhead Cloud,384000,2027-03-04,Scale,Retail,Emily Watson,EMEA
1117,Marshland Conservation,82000,2026-10-21,Growth,SaaS / Technology,James Okafor,LATAM
1118,Ridgeline Software,100000,2026-11-02,Growth,Education,Emily Watson,LATAM
1119,Sunstone Energy,253000,2026-10-22,Scale,Retail,Carlos Mendez,EMEA
